"","HHID","PN","gender","race","edu","baselineage","couple1","couple2","couple3","lbcomp1","lbcomp2","lbcomp3","livarr1","livarr2","livarr3","mstat1","mstat2","mstat3","mobility1","mobility2","mobility3","wealth1","wealth2","wealth3","hhsize1","hhsize2","hhsize3","numchild1","numchild2","numchild3","haschild1","haschild2","haschild3","hasfriend1","hasfriend2","hasfriend3","livewithsp1","livewithsp2","livewithsp3","spsupport1","spsupport2","spsupport3","chsupport1","chsupport2","chsupport3","frsupport1","frsupport2","frsupport3","numclosechild1","numclosechild2","numclosechild3","closechild1","closechild2","closechild3","loneliness11.1","loneliness11.2","loneliness11.3","ccratio1","ccratio2","ccratio3","white","married1","married2","married3","deceased","all_frsupport_missing","all_loneliness_missing","exclude_from_analysis"
"1","010003","030",1,1,16,58,0,0,0,1,1,1,5,5,5,2,3,3,0,5,1,4,5,5,1,1,1,0,0,0,NA,0,NA,1,0,1,NA,0,NA,3,4,1,1,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,2.4,2.27272727272727,1.18181818181818,NA,NA,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"2","010004","040",1,1,12,68,0,1,1,1,1,5,5,1,1,3,2,2,0,0,0,5,5,5,1,2,2,2,2,3,0,1,NA,1,1,NA,0,1,NA,NA,4,NA,NA,2.66666666666667,NA,4,2,NA,NA,2,NA,NA,2,NA,1,1,NA,NA,1,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"3","010013","040",1,1,13,66,0,0,0,1,1,5,3,5,5,2,2,2,0,1,0,5,5,5,2,1,1,1,1,1,1,1,NA,1,1,NA,0,0,NA,NA,NA,NA,3,2.33333333333333,NA,4,3,NA,1,1,NA,1,1,NA,1.18181818181818,1,NA,1,1,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"4","010038","010",0,1,16,77,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3.33333333333333,3.33333333333333,3.33333333333333,3.66666666666667,3,3,2.66666666666667,2.33333333333333,2.33333333333333,2,2,2,2,2,2,1,1.18181818181818,1.54545454545455,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"5","010038","040",1,1,16,71,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,5,5,5,2,2,2,2,2,2,1,1,NA,1,1,NA,1,1,NA,4,4,NA,4,3.33333333333333,NA,3.66666666666667,3,NA,2,2,NA,2,2,NA,1,1.45454545454545,NA,1,1,NA,1,1,1,1,0,FALSE,FALSE,FALSE
"6","010059","020",1,1,16,78,1,1,1,5,1,1,1,1,1,1,1,1,2,0,2,5,5,5,2,2,2,3,3,3,NA,1,1,NA,1,1,NA,NA,1,NA,3.66666666666667,3.33333333333333,NA,3.66666666666667,3.66666666666667,NA,2.66666666666667,3.33333333333333,NA,3,3,NA,3,3,NA,1.54545454545455,1.45454545454545,NA,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7","010404","010",1,1,12,74,0,0,0,1,1,5,4,4,4,3,3,3,1,2,4,5,4,5,3,3,3,3,3,3,1,1,NA,1,1,NA,0,0,NA,NA,NA,NA,3.66666666666667,3.66666666666667,NA,3.66666666666667,3.33333333333333,NA,3,3,NA,3,3,NA,1.18181818181818,1.09090909090909,NA,1,1,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"8","010451","010",1,7,16,75,1,1,1,1,5,1,1,1,1,1,1,1,0,0,1,3,4,5,2,2,2,3,3,3,1,NA,1,1,NA,1,1,NA,1,3.66666666666667,NA,3.33333333333333,3.66666666666667,NA,3.33333333333333,3,NA,3,3,NA,3,3,NA,3,1,NA,1.18181818181818,1,NA,1,0,1,1,1,0,FALSE,FALSE,FALSE
"9","010451","020",0,7,16,74,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,4,5,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,3,2.33333333333333,3.66666666666667,2.66666666666667,2.66666666666667,3,2,2,3,3,3,3,3,3,3,1.63636363636364,1.63636363636364,1.27272727272727,1,1,1,0,1,1,1,0,FALSE,FALSE,FALSE
"10","010458","020",0,1,13,75,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,3,2,2,2,2,2,2,2,2,1,1,1,0,0,1,1,1,1,4,4,4,3.33333333333333,2.66666666666667,2.66666666666667,NA,NA,2.33333333333333,2,2,2,2,2,2,1.81818181818182,2.18181818181818,1.27272727272727,1,1,1,1,1,1,1,0,FALSE,FALSE,FALSE
